key,avg_returns,SD,sharpe
DXC,126.91146726445224,536.650787299554,0.23648646432267648
WELL,69.85789529182247,393.82703911478,0.1773800891092772
J,3.885411332325431,32.54196315994842,0.11937175742078333
RTX,2.60852462513966,6.920547125497676,0.3768061365454733
risk_free,0.9457285714285715,0.8464504389204688,1.1163188392148187
BKR,0.2574335982912815,2.3080992968545284,0.11117961806972249
TPR,0.10536489654463778,0.9876652742325236,0.10585053385204371
EW,0.0779705522218972,0.5811879767391298,0.13274629777230706
AMD,0.06264047412981184,0.1704818919900776,0.36262193836639217
NVDA,0.054872125398846575,0.12291546442668815,0.43975040611009114
ISRG,0.04043156534309341,0.24999982377142385,0.15844637306348852
NFLX,0.03934448568122903,0.11671715276531922,0.330067044718692
ALGN,0.03805390498020252,0.13052149238595157,0.28527029763115186
AMZN,0.03662809877363869,0.08613123747037578,0.4157388170111294
ABMD,0.03571820804620729,0.1306960710430801,0.2670180348015521
MKTX,0.03332821739664437,0.08664209448561394,0.3752011950962478
MSCI,0.0318348772244065,0.062314516760131757,0.4977151206001091
MNST,0.030817721894612772,0.2365170351796923,0.12683112601940996
CPRT,0.028836539048162742,0.07464000006860307,0.37535556032170686
TTWO,0.028448087833721086,0.0877498932004184,0.31485038700411033
ADBE,0.02818732287204797,0.06290903864615142,0.4350300602427377
IDXX,0.028140871478189017,0.07725585952820643,0.353641414968842
CDNS,0.027581422946006528,0.06876427900552542,0.389176231221099
LRCX,0.026878330982952642,0.0939917201624301,0.277240707350822
DHR,0.026735483538698406,0.07509592867287658,0.3450983827843473
SNPS,0.024971204413181767,0.06399640174946904,0.3773837864779975
MSFT,0.024855062633271405,0.06307414121889486,0.3810604816617197
ADSK,0.024751130147712956,0.10204179379320469,0.23452282891274115
AAPL,0.024691764312896082,0.08399433155144352,0.2842068491047575
NEM,0.02463532864754315,0.11375964535911925,0.20934777505997254
ZBRA,0.024335528309641946,0.10827287817629382,0.21718761619464028
ODFL,0.023925171164987682,0.1023871998876456,0.22566464548637036
CTAS,0.02386682590953097,0.07551756244197082,0.30518498166887476
BLL,0.02375886077452899,0.1513042206069166,0.1516075406390903
AVGO,0.023616253407922703,0.08142588858260819,0.27996321323279694
FTNT,0.023183410738787807,0.09939647225432464,0.2249919965123792
ATVI,0.023110788971574862,0.0810969574351681,0.2748659096044996
DD,0.02302040344805075,0.24994848254319213,0.0888199168971327
CRM,0.022973356314030424,0.08443369956150432,0.2623757626289155
BBY,0.02276997832444591,0.10044714208527356,0.21852267639244236
CNC,0.02275678691787153,0.14814963006668705,0.14807183054049514
ROL,0.02252896615127749,0.06018494394344206,0.3607042680255411
GPN,0.022181813765563163,0.06989698334769034,0.30561853662986493
TMUS,0.02209060982445992,0.05710523886630407,0.37248088348354685
TDG,0.02173591420398373,0.0937676729575292,0.22306103526166537
SPGI,0.021492785629623774,0.06376949952346182,0.3241798318021599
PGR,0.021483874010235965,0.05253197934359626,0.39335799390081283
RMD,0.021462605996588596,0.06964465820643176,0.29639898490710415
CHTR,0.021266153388061645,0.07474308741844823,0.27355243266302487
ANSS,0.02117824716427012,0.06789250773518946,0.2998599969775193
TMO,0.021136507604494734,0.05902652925110464,0.34419282079192426
ETN,0.02087458829834192,0.10760797415354162,0.1863671206162362
KLAC,0.02066314353180258,0.08686854439859036,0.22842725947788045
EQIX,0.020657680695112986,0.054925581065755874,0.361173797530948
INTU,0.020530331513250948,0.06384421437208333,0.30872541399568904
LDOS,0.020095767472838092,0.0977688192498084,0.19715659471744992
SIVB,0.019998431191591327,0.11642949247674021,0.16472141880565794
MA,0.019875816640062657,0.06186026114072688,0.308046171947323
IPGP,0.019712436053617326,0.11537355732533508,0.1637501390404706
DHI,0.019651844877648577,0.09637157092005773,0.19540871543196067
VRSN,0.019571819353749517,0.06691554312649503,0.28023114627197554
MTD,0.019558708321824686,0.06965595118488459,0.2690180523425399
XLNX,0.019355011467395267,0.08018475814495496,0.23115379900365074
BR,0.01919792781814825,0.0622259266338013,0.2953419709810365
NVR,0.019091981267388244,0.0741231845217065,0.2465083143053225
NEE,0.018838232125868885,0.04810394448372957,0.37456870365305023
UNH,0.01881873419464224,0.0563301031652411,0.3195224788039886
DG,0.018590234945576125,0.06524641791158181,0.2723557172082201
TXN,0.01847946703748584,0.06325244138568911,0.27919028342013213
HUM,0.01847050376038196,0.08251923436735886,0.21389563167546494
PKI,0.01846363982733372,0.07145564815117823,0.24691735760349118
GOOG,0.018218200237637587,0.06425463996880477,0.2707695544801792
EL,0.0180900546753025,0.06160684887558649,0.2803268628489496
GOOGL,0.01804785963787386,0.0648134394646963,0.2658069033237748
AVY,0.018001293848663676,0.06458948865979709,0.26600758428604737
DE,0.017980354914766464,0.07229582642169186,0.23736300923752382
MCHP,0.01793582911450363,0.09049063416487471,0.18914475815605888
AMAT,0.017927428544693917,0.09157053187884685,0.18682242194823157
AWK,0.01787451673059293,0.04917446186600508,0.3468165402005737
TFX,0.017677233672096566,0.07058205092556893,0.2388317348538521
MCO,0.017590610008443506,0.06414935158351003,0.261430701861599
HOLX,0.017393935380317308,0.0898029833702246,0.1845588504781526
STE,0.01711895479921957,0.057077997607310575,0.28555582680658004
HD,0.017034000508223096,0.05808312506134435,0.279151655340492
URI,0.01689464928421979,0.13247303533957935,0.12134280189937734
MLM,0.016804323370281697,0.08402701714359988,0.19022838027160863
NLOK,0.016789872580007907,0.1296364545274892,0.12318967406364481
SHW,0.016787392416646195,0.06624390338270608,0.24103942553624805
EA,0.016768705488581365,0.08244587036169558,0.19344456451988826
